Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 382, 18.771296400031133
2, [2,1], 383, 18.515031500071927
3, [3,1], 384, 18.635280400172633
4, [4,1], 385, 18.7787837999349
5, [5,1], 384, 18.59767610004201
6, [6,1], 383, 18.437169299861125
7, [7,1], 382, 18.671485600039887
8, [8,1], 383, 18.77602770012163
9, [9,1], 384, 18.75393770015944
10, [10,1], 385, 18.718428599917388
11, [11,1], 386, 18.97470009997778
12, [12,1], 387, 18.815757399810536
13, [15,1], 384, 18.68709039989335
14, [16,1], 385, 18.884631699904276
15, [17,1], 386, 18.66061149991583
16, [18,1], 387, 18.67727649999142
17, [19,1], 381, 18.317583100018965
18, [20,1], 380, 18.649141800073266
19, [21,1], 379, 18.61236989993631
20, [22,1], 378, 18.36354449994542
21, [23,1], 379, 18.676278699967952
22, [24,1], 380, 18.370845800040115
23, [25,1], 381, 19.07010019988229
24, [26,1], 382, 19.039734399942972
25, [1,2], 381, 18.431788799942296
26, [6,2], 384, 18.886643700141576
27, [12,2], 388, 18.967419099906692
28, [15,2], 383, 18.77647290011373
29, [21,2], 380, 18.450401799993415
30, [26,2], 386, 18.567128300004697
31, [1,3], 380, 18.5078163001308
32, [6,3], 385, 18.60598610001034
33, [12,3], 387, 18.71698479988845
34, [15,3], 382, 18.833809399875463
35, [21,3], 388, 18.872830499989504
36, [26,3], 385, 18.6579002001381
37, [1,4], 379, 18.58601749999798
38, [6,4], 384, 18.536232300008123
39, [12,4], 386, 18.582826599922555
40, [15,4], 381, 18.64792399998987
41, [21,4], 387, 19.083392700078548
42, [26,4], 384, 18.60168689994316
43, [1,5], 380, 18.441306600070675
44, [2,5], 381, 18.495696900114126
45, [3,5], 388, 18.69612029985001
46, [4,5], 387, 19.057873400008248
47, [5,5], 386, 18.72239960009756
48, [6,5], 385, 19.104793799888284
49, [7,5], 390, 19.09393969996745
50, [8,5], 391, 19.149649099679664
51, [9,5], 403, 19.773963499828824
52, [10,5], 402, 19.725657700037118
53, [11,5], 403, 19.699796700137085
54, [12,5], 387, 18.995431500094128
55, [13,5], 384, 18.515030500275316
56, [14,5], 383, 18.581322000063665
57, [15,5], 382, 18.832649200150627
58, [16,5], 386, 18.756599900123547
59, [17,5], 385, 18.597063900044304
60, [18,5], 384, 18.747622899973067
61, [19,5], 390, 19.377045800123597
62, [20,5], 389, 19.219681099959416
63, [21,5], 388, 19.908106299990322
64, [22,5], 389, 18.84316059973935
65, [23,5], 390, 18.986492299976817
66, [24,5], 391, 19.125674699927913
67, [25,5], 386, 18.995309000150883
68, [26,5], 385, 18.621748599958664
69, [1,6], 381, 18.628329899984237
70, [6,6], 388, 19.275495099987893
71, [9,6], 404, 19.781852399988566
72, [18,6], 385, 18.682935999939218
73, [21,6], 384, 19.061773400069796
74, [26,6], 386, 18.65807580006367
75, [1,7], 382, 18.543412600258307
76, [6,7], 389, 18.935191999837116
77, [9,7], 394, 19.418485700007295
78, [18,7], 386, 18.574990699817135
79, [21,7], 383, 18.748175999986415
80, [26,7], 387, 19.072866499918746
81, [1,8], 383, 18.584611800128187
82, [2,8], 393, 19.065549799866858
83, [3,8], 399, 19.59082169998146
84, [4,8], 398, 19.311695900199993
85, [5,8], 397, 19.06780610003625
86, [6,8], 390, 19.165472900000168
87, [9,8], 392, 19.016284200173686
88, [10,8], 389, 18.80145689989149
89, [11,8], 390, 18.918120799913595
90, [12,8], 391, 19.09536369995476
91, [15,8], 400, 19.63829830011673
92, [16,8], 401, 19.904654399906576
93, [17,8], 402, 19.700113700142538
94, [18,8], 387, 18.71689600009995
95, [21,8], 384, 18.825514600030147
96, [22,8], 381, 18.5413249001067
97, [23,8], 382, 18.50592180006788
98, [24,8], 383, 18.66613160003908
99, [25,8], 384, 18.99345889995311
100, [26,8], 388, 18.759631900051318
101, [6,9], 386, 18.74934640010906
102, [12,9], 388, 18.89298449987109
103, [15,9], 399, 19.73582000011811
104, [21,9], 385, 18.631065399917134
105, [6,10], 387, 18.875116599963803
106, [12,10], 387, 19.193803800044407
107, [15,10], 398, 19.467645599957905
108, [21,10], 386, 18.906758199897013
109, [6,11], 388, 19.111416800064035
110, [9,11], 391, 18.84729179986607
111, [10,11], 390, 18.95885320007801
112, [11,11], 389, 19.08586330014805
113, [12,11], 388, 18.728906999807805
114, [13,11], 401, 19.81397590011329
115, [14,11], 400, 19.716304999841668
116, [15,11], 399, 19.74055379989295
117, [16,11], 382, 18.511922300043807
118, [17,11], 383, 18.486020299860684
119, [18,11], 384, 18.915413100126898
120, [21,11], 388, 18.82635290010512
121, [6,12], 389, 19.07966650002345
122, [9,12], 390, 19.1279365999726
123, [18,12], 390, 18.73959640015528
124, [21,12], 387, 19.01438309995865
125, [6,13], 390, 19.205175199982477
126, [9,13], 389, 18.658687100170937
127, [18,13], 389, 18.939316500043788
128, [21,13], 386, 18.848870199915837
129, [6,14], 391, 18.996340899917413
130, [7,14], 388, 18.751529800036224
131, [8,14], 389, 18.911614199867472
132, [9,14], 390, 19.0828434000141
133, [18,14], 390, 19.002115999988746
134, [19,14], 381, 18.527676099991368
135, [20,14], 382, 18.66391969990218
136, [21,14], 387, 18.76732450001873
137, [6,15], 392, 18.946036300192645
138, [9,15], 391, 18.920030599714664
139, [18,15], 395, 19.570504899958905
140, [21,15], 388, 18.970394299947657
141, [6,16], 395, 19.26008169992565
142, [9,16], 388, 18.74629610004922
143, [18,16], 394, 19.123855500103673
144, [21,16], 381, 18.5843147998894
145, [6,17], 394, 19.352837700127566
146, [9,17], 389, 18.782920399986324
147, [10,17], 386, 18.981101900106296
148, [11,17], 405, 19.992039000120712
149, [12,17], 418, 20.925472699978855
150, [13,17], 417, 20.70363420000649
151, [14,17], 416, 20.881702000115183
152, [15,17], 415, 20.611394899868174
153, [16,17], 414, 20.740024400060065
154, [17,17], 396, 19.187623400030134
155, [18,17], 395, 19.438836100183835
156, [21,17], 380, 18.346924700003
157, [6,18], 393, 19.005114799903822
158, [9,18], 394, 19.23880089994782
159, [18,18], 411, 20.656376800056023
160, [21,18], 379, 18.425213500020618
161, [6,19], 392, 19.0996099000331
162, [9,19], 393, 19.065294200168864
163, [18,19], 410, 20.31987579997076
164, [21,19], 378, 18.73528000002989
165, [1,20], 398, 19.335843699875113
166, [2,20], 397, 19.20517519992427
167, [3,20], 396, 19.485398600023473
168, [4,20], 395, 19.243129399983445
169, [5,20], 394, 19.126579100025992
170, [6,20], 393, 19.30538769978739
171, [7,20], 390, 18.81694730000163
172, [8,20], 391, 18.826883099987754
173, [9,20], 394, 19.166050600018934
174, [10,20], 391, 18.96824530003505
175, [11,20], 392, 18.989923599976464
176, [12,20], 389, 18.743237800183124
177, [15,20], 395, 19.45408559984935
178, [16,20], 413, 20.80137000002287
179, [17,20], 412, 20.80106440022064
180, [18,20], 411, 20.36089309999079
181, [19,20], 386, 18.879720400211227
182, [20,20], 387, 19.05704749985307
183, [21,20], 379, 18.670525999943493
184, [22,20], 411, 20.490284099862038
185, [23,20], 381, 18.611069700062217
186, [24,20], 382, 18.93961969979864
187, [25,20], 383, 18.451262200083875
188, [26,20], 384, 18.493237400027283
189, [1,21], 399, 19.247877300105756
190, [6,21], 394, 19.760622100169712
191, [12,21], 396, 19.05099230023916
192, [15,21], 394, 19.102729000034742
193, [21,21], 378, 18.34774060001655
194, [26,21], 377, 18.147005300124874
195, [1,22], 398, 19.183884000012768
196, [6,22], 395, 19.492330599830893
197, [12,22], 395, 19.255471199991007
198, [15,22], 393, 18.97343599987653
199, [21,22], 377, 18.294037099920388
200, [26,22], 376, 18.232760000159033
201, [1,23], 397, 19.277023800044844
202, [2,23], 398, 19.332571699786058
203, [3,23], 397, 19.433375400098157
204, [6,23], 396, 19.268594500004838
205, [7,23], 397, 19.27961960001994
206, [8,23], 398, 19.164305300000706
207, [9,23], 407, 20.1356633999967
208, [10,23], 406, 20.39862979996542
209, [11,23], 407, 20.73001829993882
210, [12,23], 396, 19.05850449990976
211, [13,23], 385, 18.716374000017822
212, [14,23], 386, 18.622755799937295
213, [15,23], 394, 19.040272300066135
214, [16,23], 392, 19.086204799968982
215, [17,23], 391, 19.257727099990007
216, [18,23], 390, 19.070240799934254
217, [19,23], 389, 19.606792100028542
218, [20,23], 390, 19.508557399967685
219, [21,23], 378, 18.298499700096727
220, [24,23], 373, 18.148425900122675
221, [25,23], 374, 18.10737389994756
222, [26,23], 375, 18.49306859997887
223, [3,24], 394, 19.05852180015063
224, [6,24], 397, 19.446530399894982
225, [9,24], 408, 20.23458600014419
226, [18,24], 391, 18.988126200216357
227, [21,24], 379, 18.363805399996636
228, [24,24], 372, 17.890385700098705
229, [3,25], 393, 19.19785479993152
230, [6,25], 398, 19.221865800041996
231, [9,25], 401, 19.682409100132645
232, [18,25], 392, 19.05333549997158
233, [21,25], 393, 19.23553819985682
234, [24,25], 371, 18.03011700003117
235, [1,26], 396, 19.61069310014136
236, [2,26], 395, 19.127047199937806
237, [3,26], 394, 19.095965600128693
238, [4,26], 393, 19.17768829996203
239, [5,26], 400, 19.285853200024576
240, [6,26], 399, 19.279666999995243
241, [9,26], 402, 19.50796379987878
242, [10,26], 399, 20.234819599965704
243, [11,26], 400, 19.931002499855822
244, [12,26], 401, 20.218592399913177
245, [15,26], 409, 19.747945400064054
246, [16,26], 410, 19.937625699938508
247, [17,26], 411, 19.816747700177075
248, [18,26], 393, 19.34101760014164
249, [21,26], 394, 19.435432899750595
250, [22,26], 382, 18.712395700189518
251, [23,26], 373, 18.325209099974018
252, [24,26], 372, 18.044697999954224
253, [25,26], 373, 18.282265900015773
254, [26,26], 374, 18.06849729992973
255, [1,27], 397, 19.450700300025346
256, [12,27], 412, 20.191916800096806
257, [15,27], 408, 19.678034600154206
258, [26,27], 375, 18.082896899897605
259, [1,28], 398, 19.23261069998989
260, [12,28], 411, 20.015933499969833
261, [15,28], 407, 20.14048679985717
262, [26,28], 376, 18.207614800128795
263, [1,29], 399, 19.304149899930053
264, [2,29], 422, 20.41639809987828
265, [3,29], 421, 20.24529190004978
266, [4,29], 420, 20.241808000129822
267, [5,29], 419, 20.58617369991407
268, [6,29], 418, 20.283806200081017
269, [7,29], 417, 20.178400499971758
270, [8,29], 416, 19.995892700113473
271, [9,29], 415, 20.170721400136244
272, [10,29], 414, 20.15278349979053
273, [11,29], 413, 20.11996340008045
274, [12,29], 412, 19.785268400068162
275, [14,29], 409, 19.9159298000086
276, [15,29], 408, 19.779040000117675
277, [16,29], 397, 19.228105099908134
278, [17,29], 398, 19.370074199796363
279, [18,29], 399, 19.492780199841945
280, [19,29], 400, 19.941707199948723
281, [20,29], 401, 19.494557600002736
282, [21,29], 402, 19.233585699897958
283, [22,29], 403, 19.51636349994078
284, [23,29], 404, 19.527146800035553
285, [24,29], 405, 19.503560499913874
286, [25,29], 406, 19.95583049995912
287, [26,29], 407, 19.702517899779195
288, [13,29], 410, 19.761625199920672
