Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 388, 18.75844450006116
2, [2,1], 389, 18.77899930008425
3, [3,1], 390, 18.838704899972072
4, [4,1], 391, 18.863665700155252
5, [5,1], 390, 18.865483599882282
6, [6,1], 389, 19.128189899900462
7, [7,1], 388, 18.794821700073953
8, [8,1], 389, 18.831845300112036
9, [9,1], 390, 18.957602899929043
10, [10,1], 391, 19.33144289990014
11, [11,1], 392, 18.88312989997212
12, [12,1], 393, 19.285575600035372
13, [15,1], 390, 18.894995500108053
14, [16,1], 391, 18.82527720010694
15, [17,1], 392, 18.946777400109568
16, [18,1], 393, 19.024329399959242
17, [19,1], 381, 18.619331699999748
18, [20,1], 380, 18.362408400142158
19, [21,1], 379, 18.541691200043715
20, [22,1], 378, 18.252925700027845
21, [23,1], 379, 18.374968000047375
22, [24,1], 380, 18.30982039993978
23, [25,1], 381, 18.610917900114146
24, [26,1], 382, 18.3846944001707
25, [1,2], 387, 18.678778899971803
26, [6,2], 390, 19.036903700092807
27, [12,2], 394, 19.184412800132122
28, [15,2], 389, 18.75961889991595
29, [21,2], 380, 18.372164599975804
30, [26,2], 392, 19.08141670002078
31, [1,3], 386, 18.71020409988705
32, [6,3], 391, 19.141576699941652
33, [12,3], 393, 19.215176699959557
34, [15,3], 388, 18.870504299957247
35, [21,3], 394, 19.07200069998362
36, [26,3], 391, 19.049715399887646
37, [1,4], 385, 18.544967099893256
38, [6,4], 390, 18.9715718002044
39, [12,4], 392, 19.194032799983688
40, [15,4], 387, 18.71909340005368
41, [21,4], 393, 19.057185999998183
42, [26,4], 390, 18.895366500044474
43, [1,5], 386, 18.683711799851153
44, [2,5], 387, 18.68864860022586
45, [3,5], 394, 19.489992699789582
46, [4,5], 393, 19.038003699912224
47, [5,5], 392, 18.984377199973096
48, [6,5], 391, 18.777223999968555
49, [7,5], 396, 19.32473819988809
50, [8,5], 397, 19.10197709993372
51, [9,5], 403, 19.488402800132462
52, [10,5], 402, 19.717038599766965
53, [11,5], 403, 19.541286199899332
54, [12,5], 393, 18.936135300078604
55, [13,5], 390, 18.913449299914646
56, [14,5], 389, 19.11492910009838
57, [15,5], 388, 18.88390439991781
58, [16,5], 386, 19.017974900059926
59, [17,5], 385, 18.719267400112585
60, [18,5], 384, 18.742727599965292
61, [19,5], 396, 19.31606910005212
62, [20,5], 395, 19.06738370003586
63, [21,5], 394, 18.979099600073823
64, [22,5], 395, 19.165027399925748
65, [23,5], 396, 19.395899000337522
66, [24,5], 397, 19.355212000009487
67, [25,5], 392, 18.95004410022375
68, [26,5], 391, 18.85625730011816
69, [1,6], 387, 18.95329720011796
70, [6,6], 394, 19.014475899894023
71, [9,6], 404, 19.828434700095386
72, [18,6], 385, 18.591446300284588
73, [21,6], 384, 18.856359000092198
74, [26,6], 392, 18.910325399963767
75, [1,7], 388, 18.8124973000522
76, [6,7], 395, 19.258876000123564
77, [9,7], 400, 19.283733800177288
78, [18,7], 386, 19.05726160004997
79, [21,7], 383, 18.554837600007886
80, [26,7], 393, 18.995587100056582
81, [1,8], 389, 18.8883342998015
82, [2,8], 393, 19.089860200081603
83, [3,8], 399, 19.450268799861078
84, [4,8], 398, 19.591045299865073
85, [5,8], 397, 19.38678410014836
86, [6,8], 396, 19.073823400074616
87, [9,8], 398, 19.152251100022113
88, [10,8], 389, 18.81058990010206
89, [11,8], 390, 18.84087519996683
90, [12,8], 391, 19.049967199949606
91, [15,8], 412, 20.55081099990639
92, [16,8], 413, 20.37319110005774
93, [17,8], 414, 20.170519100087404
94, [18,8], 387, 19.061307200019655
95, [21,8], 384, 21.707075899968913
96, [22,8], 381, 18.358437700058857
97, [23,8], 382, 19.01433459985128
98, [24,8], 383, 18.577310799977568
99, [25,8], 384, 18.761402100106352
100, [26,8], 394, 19.235611100048118
101, [6,9], 386, 18.75259920003009
102, [12,9], 394, 19.128114800121693
103, [15,9], 411, 20.150413000061235
104, [21,9], 385, 18.941596499964362
105, [6,10], 387, 18.854318700236036
106, [12,10], 393, 18.862448200248764
107, [15,10], 410, 20.034566699971037
108, [21,10], 386, 18.786058700061403
109, [6,11], 388, 18.925942600013514
110, [9,11], 397, 19.648847599950386
111, [10,11], 396, 19.119460299858474
112, [11,11], 395, 19.032517900115636
113, [12,11], 394, 19.249964700058626
114, [13,11], 413, 20.08171989992843
115, [14,11], 412, 19.985698699914792
116, [15,11], 411, 20.34801769990736
117, [16,11], 388, 18.833395000037854
118, [17,11], 389, 18.807981099904282
119, [18,11], 390, 18.77885510021588
120, [21,11], 394, 19.180820099893026
121, [6,12], 389, 18.917944800137775
122, [9,12], 396, 19.060010300265276
123, [18,12], 396, 19.597228000100586
124, [21,12], 393, 18.983256000079564
125, [6,13], 390, 19.081654400069965
126, [9,13], 395, 19.188941100139346
127, [18,13], 395, 19.106346699947608
128, [21,13], 392, 18.90471180001623
129, [6,14], 391, 19.13145970019832
130, [7,14], 394, 19.045190700213425
131, [8,14], 395, 19.383594900085882
132, [9,14], 396, 19.256765800215362
133, [18,14], 396, 19.25318680003693
134, [19,14], 387, 18.777895100109163
135, [20,14], 388, 18.933924999997544
136, [21,14], 393, 19.465023999910045
137, [6,15], 392, 18.964349299829337
138, [9,15], 397, 19.110802199793397
139, [18,15], 395, 19.17414500007726
140, [21,15], 394, 18.977135700035433
141, [6,16], 395, 19.2831345000086
142, [9,16], 394, 19.467698199878214
143, [18,16], 394, 19.357240099998307
144, [21,16], 387, 18.696101599947724
145, [6,17], 394, 19.15605759990285
146, [9,17], 395, 18.98982059991249
147, [10,17], 392, 18.916155400074786
148, [11,17], 411, 20.020972400074243
149, [12,17], 418, 20.795611500194354
150, [13,17], 417, 20.583384200203
151, [14,17], 416, 20.96733839991066
152, [15,17], 415, 20.73575629991683
153, [16,17], 414, 20.41774230005103
154, [17,17], 396, 19.144277299943496
155, [18,17], 395, 19.462845300186018
156, [21,17], 386, 18.790465500045684
157, [6,18], 393, 19.170281199993042
158, [9,18], 394, 19.254833399972995
159, [18,18], 411, 20.356585899891797
160, [21,18], 385, 18.649594899972726
161, [6,19], 392, 18.977911299909465
162, [9,19], 393, 19.066480400055298
163, [18,19], 410, 20.34695860013744
164, [21,19], 384, 18.644024699999136
165, [1,20], 398, 19.220851700134517
166, [2,20], 397, 19.171278999754577
167, [3,20], 396, 19.464171100014937
168, [4,20], 395, 19.266862500087882
169, [5,20], 394, 18.95533089993114
170, [6,20], 393, 19.0060022999387
171, [7,20], 396, 19.35734540005069
172, [8,20], 397, 19.11648620001506
173, [9,20], 394, 19.043892899724597
174, [10,20], 391, 18.965346299919474
175, [11,20], 392, 18.971145399773377
176, [12,20], 389, 18.807793099913397
177, [15,20], 395, 19.294538300135173
178, [16,20], 413, 20.453172099863878
179, [17,20], 412, 20.333908799977507
180, [18,20], 411, 20.270562100136885
181, [19,20], 386, 18.963684299938905
182, [20,20], 387, 18.692843800126866
183, [21,20], 385, 18.674064500068198
184, [22,20], 411, 20.210121600030106
185, [23,20], 387, 18.641846299811732
186, [24,20], 388, 18.75054019997333
187, [25,20], 389, 19.21259459999419
188, [26,20], 390, 19.007500999730837
189, [1,21], 399, 19.250658400058455
190, [6,21], 394, 19.397353600194037
191, [12,21], 396, 19.614178100026038
192, [15,21], 394, 19.305398300042725
193, [21,21], 384, 18.599888000215287
194, [26,21], 383, 18.52991790001397
195, [1,22], 398, 19.82929150005657
196, [6,22], 395, 19.181242100181407
197, [12,22], 395, 19.02781319996575
198, [15,22], 393, 19.524825199907355
199, [21,22], 383, 18.44865650004067
200, [26,22], 382, 18.35866160006117
201, [1,23], 397, 19.122150100003637
202, [2,23], 398, 19.225688400067156
203, [3,23], 397, 19.532414600107586
204, [6,23], 396, 19.12509260018851
205, [7,23], 397, 19.499983599976986
206, [8,23], 398, 19.207026100106305
207, [9,23], 407, 19.857191900031467
208, [10,23], 406, 19.792092100033187
209, [11,23], 407, 20.233121199838934
210, [12,23], 396, 19.48855100003857
