Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 382, 18.48105300009047
2, [2,1], 383, 18.35905289999937
3, [3,1], 384, 18.75778710001032
4, [4,1], 385, 18.845916699989175
5, [5,1], 384, 18.542014100086817
6, [6,1], 383, 18.80124689998047
7, [7,1], 382, 18.432249799800047
8, [8,1], 383, 18.483509099984076
9, [9,1], 384, 18.63660400003573
10, [10,1], 385, 18.719231799906993
11, [11,1], 386, 18.75204389999999
12, [12,1], 387, 18.795352500143053
13, [15,1], 384, 18.933811600043555
14, [16,1], 385, 18.48326980011916
15, [17,1], 386, 18.817182000108005
16, [18,1], 387, 18.668691300073988
17, [19,1], 381, 18.5991289001322
18, [20,1], 380, 18.496986100166396
19, [21,1], 379, 18.484863700105052
20, [22,1], 378, 18.595205500052543
21, [23,1], 379, 18.408746399982192
22, [24,1], 380, 18.383700100006536
23, [25,1], 381, 18.43597180024517
24, [26,1], 382, 18.599320099929173
25, [1,2], 381, 18.38471140002366
26, [6,2], 384, 18.652960499843175
27, [12,2], 388, 18.921404799926677
28, [15,2], 383, 18.65041219998966
29, [21,2], 380, 18.390943300226354
30, [26,2], 386, 18.72419150013593
31, [1,3], 380, 18.474309100041864
32, [6,3], 385, 18.50286870000855
33, [12,3], 387, 18.963674600061495
34, [15,3], 382, 18.452087700126867
35, [21,3], 388, 19.044869999946968
36, [26,3], 385, 18.664947499666596
37, [1,4], 379, 18.51450829992973
38, [6,4], 384, 18.435329299914883
39, [12,4], 386, 18.59200819999387
40, [15,4], 381, 18.60241189978842
41, [21,4], 387, 18.964633700088598
42, [26,4], 384, 18.52883640001528
43, [1,5], 380, 18.4236656999783
44, [2,5], 381, 18.530824700130324
45, [3,5], 388, 18.766983400011668
46, [4,5], 387, 18.9294872999817
47, [5,5], 386, 18.670916200062493
48, [6,5], 385, 18.752404399921943
49, [7,5], 390, 18.797605700048734
50, [8,5], 391, 19.07107200002065
51, [9,5], 403, 19.822595199941134
52, [10,5], 402, 19.598371700056305
53, [11,5], 403, 19.986632000116515
54, [12,5], 387, 18.647768799994083
55, [13,5], 384, 18.559025599999586
56, [14,5], 383, 18.72686410003371
57, [15,5], 382, 18.451439799908258
58, [16,5], 386, 18.84881379993749
59, [17,5], 385, 18.980848800158128
60, [18,5], 384, 18.503021200005605
61, [19,5], 390, 18.82040550000238
62, [20,5], 389, 18.787523900115048
63, [21,5], 388, 18.796947699956945
64, [22,5], 389, 18.893801799975336
65, [23,5], 390, 18.977808799965715
66, [24,5], 391, 19.046589799960202
67, [25,5], 386, 18.96424449999904
68, [26,5], 385, 18.696206499866094
69, [1,6], 381, 18.583429900165356
70, [6,6], 388, 18.705929899901093
71, [9,6], 404, 19.742686300131027
72, [18,6], 385, 18.919584200077225
73, [21,6], 384, 18.482054499960213
74, [26,6], 386, 18.640100799966604
75, [1,7], 382, 18.331743699854997
76, [6,7], 389, 19.156559099967126
77, [9,7], 394, 19.049626500003797
78, [18,7], 386, 18.753527100241627
79, [21,7], 383, 18.639820500036876
80, [26,7], 387, 18.66013760000351
81, [1,8], 383, 18.474811899977794
82, [2,8], 393, 19.136011099995812
83, [3,8], 399, 19.146527400218474
84, [4,8], 398, 19.122711200056074
85, [5,8], 397, 19.157852199758054
86, [6,8], 390, 19.113193500008492
87, [9,8], 392, 18.939571799979603
88, [10,8], 389, 18.83581679991039
89, [11,8], 390, 18.91846180009452
90, [12,8], 391, 18.814879199999268
91, [15,8], 400, 19.419972700088692
92, [16,8], 401, 19.621376399925794
93, [17,8], 402, 19.326133299946378
94, [18,8], 387, 18.67808050014719
95, [21,8], 384, 18.721356000030937
96, [22,8], 381, 18.45411059997423
97, [23,8], 382, 18.442470699978003
98, [24,8], 383, 18.63254029991367
99, [25,8], 384, 18.922280200094974
100, [26,8], 388, 18.76794949995383
101, [6,9], 386, 18.644082900049398
102, [12,9], 388, 18.988699999907112
103, [15,9], 399, 19.466430199980095
104, [21,9], 385, 18.59534570008691
105, [6,10], 387, 19.009881400001177
106, [12,10], 387, 18.63584740004444
107, [15,10], 398, 19.146830199977558
108, [21,10], 386, 18.88064479989407
109, [6,11], 388, 19.037968400145473
110, [9,11], 391, 18.93689860017912
111, [10,11], 390, 18.850147199991625
112, [11,11], 389, 19.123212299891748
113, [12,11], 388, 18.80090429995471
114, [13,11], 401, 19.475985800025228
115, [14,11], 400, 19.5307646000947
116, [15,11], 399, 19.284333399889874
117, [16,11], 382, 18.429825599981996
118, [17,11], 383, 18.569272800035833
119, [18,11], 384, 18.90360700000747
120, [21,11], 388, 18.773964399944816
121, [6,12], 389, 18.99135070002376
122, [9,12], 390, 18.652208399915253
123, [18,12], 390, 18.93691249971016
124, [21,12], 387, 18.63595860011992
125, [6,13], 390, 19.312680099974386
126, [9,13], 389, 18.70952220003528
127, [18,13], 389, 18.78596250004921
128, [21,13], 386, 18.948644700045406
129, [6,14], 391, 19.001207699831866
130, [7,14], 388, 18.62406790035311
131, [8,14], 389, 19.1233737001603
132, [9,14], 390, 19.019308500261104
133, [18,14], 390, 18.86642080007732
134, [19,14], 381, 18.46147549998568
135, [20,14], 382, 18.5770357001893
136, [21,14], 387, 19.137284299824387
137, [6,15], 392, 21.34822310000891
138, [9,15], 391, 20.409504999981436
139, [18,15], 395, 20.72276499986765
140, [21,15], 388, 20.663097599906905
141, [6,16], 395, 20.013101199998346
142, [9,16], 388, 19.67547990010644
143, [18,16], 394, 20.075362499948824
144, [21,16], 381, 19.576823799950944
145, [6,17], 394, 19.327570099994773
146, [9,17], 389, 27.53202180021617
147, [10,17], 386, 19.39692530019238
148, [11,17], 405, 20.75194580002426
149, [12,17], 418, 20.93579029992543
150, [13,17], 417, 20.810424000083003
151, [14,17], 416, 20.530618200136814
152, [15,17], 415, 20.604495700172265
153, [16,17], 414, 20.474576800028444
154, [17,17], 396, 19.190426799978013
155, [18,17], 395, 19.11215989982884
156, [21,17], 380, 18.713687299932644
157, [6,18], 393, 18.901179500171565
158, [9,18], 394, 19.430515900065075
159, [18,18], 411, 20.457852900144644
160, [21,18], 379, 18.561696100055997
161, [6,19], 392, 19.025244600146834
162, [9,19], 393, 19.26532429990766
163, [18,19], 410, 20.31348240002262
164, [21,19], 378, 18.386060099910537
165, [1,20], 398, 19.319649200006097
166, [2,20], 397, 19.287020299831056
167, [3,20], 396, 19.05747239998891
168, [4,20], 395, 19.055382099970302
169, [5,20], 394, 19.281861900126387
170, [6,20], 393, 19.041751799733902
171, [7,20], 390, 19.569937500076776
172, [8,20], 391, 18.89143810006499
173, [9,20], 394, 19.020309500032454
174, [10,20], 391, 19.113213099975837
175, [11,20], 392, 19.427930199948605
176, [12,20], 389, 18.718004300091707
177, [15,20], 395, 19.099623900117876
178, [16,20], 413, 20.449934599681
179, [17,20], 412, 20.67299159990216
180, [18,20], 411, 20.31356150007923
181, [19,20], 386, 18.79813509989617
182, [20,20], 387, 18.807025300011446
183, [21,20], 379, 18.508806999918306
184, [22,20], 411, 20.412827300009667
185, [23,20], 381, 18.61865139996371
186, [24,20], 382, 18.411965799998143
187, [25,20], 383, 18.654843099910067
188, [26,20], 384, 18.936660100072913
189, [1,21], 399, 19.32029109988798
190, [6,21], 394, 19.342694200029655
191, [12,21], 396, 19.31327399980364
192, [15,21], 394, 18.973666900048556
193, [21,21], 378, 18.228310699887516
194, [26,21], 377, 18.203661600098712
195, [1,22], 398, 19.505634199958877
196, [6,22], 395, 19.258392199975788
197, [12,22], 395, 19.197657700096897
198, [15,22], 393, 18.906828300147026
199, [21,22], 377, 19.101287199970102
200, [26,22], 376, 18.38991469991015
201, [1,23], 397, 19.095724600207177
202, [2,23], 398, 19.589240399836854
203, [3,23], 397, 19.523742500154185
204, [6,23], 396, 19.2587232998776
205, [7,23], 397, 19.13405519988737
206, [8,23], 398, 19.490970100239792
207, [9,23], 407, 19.98791009993147
208, [10,23], 406, 20.03755840005033
209, [11,23], 407, 19.931655900021724
210, [12,23], 396, 19.661549799922796
211, [13,23], 385, 18.792183400124486
212, [14,23], 386, 19.109800100100983
213, [15,23], 394, 19.16237809996528
214, [16,23], 392, 19.10342789990682
215, [17,23], 391, 19.0766119999098
216, [18,23], 390, 19.20400640011212
217, [19,23], 389, 18.95416379987728
218, [20,23], 390, 19.537164900066273
219, [21,23], 378, 18.926146699923265
220, [24,23], 373, 18.172669800114818
221, [25,23], 374, 18.329569299945433
222, [26,23], 375, 18.095680600061314
223, [3,24], 394, 19.518465700173692
224, [6,24], 397, 19.394229799960158
225, [9,24], 408, 20.628219500060368
226, [18,24], 391, 19.12251940000715
227, [21,24], 379, 18.615033800182573
228, [24,24], 372, 18.470619999941846
229, [3,25], 393, 19.30333850003808
230, [6,25], 398, 19.305409899934602
231, [9,25], 401, 19.51444780001475
232, [18,25], 392, 19.215081399932387
233, [21,25], 393, 19.15285259977827
234, [24,25], 371, 17.92581619998964
235, [1,26], 396, 19.276338400057284
236, [2,26], 395, 19.226553800057445
237, [3,26], 394, 19.166858799981128
238, [4,26], 393, 19.197710000174993
239, [5,26], 400, 19.334385300076974
240, [6,26], 399, 19.27430750005442
241, [9,26], 402, 19.308511799892585
242, [10,26], 399, 19.87320860003092
243, [11,26], 400, 19.723686499950418
244, [12,26], 401, 20.15457899986359
245, [15,26], 409, 19.97655120010313
246, [16,26], 410, 20.1229379000506
247, [17,26], 411, 19.900854099898424
248, [18,26], 393, 19.24188039976434
249, [21,26], 394, 19.43153800022992
250, [22,26], 382, 18.85242959993775
251, [23,26], 373, 18.831507300012163
252, [24,26], 372, 18.058745100177475
253, [25,26], 373, 18.28295809991687
254, [26,26], 374, 18.525296799911303
255, [1,27], 397, 19.35743269984232
256, [12,27], 412, 20.035860800337105
257, [15,27], 408, 19.832756199924916
258, [26,27], 375, 18.11247860003641
259, [1,28], 398, 19.127191499894252
260, [12,28], 411, 19.869370900007198
261, [15,28], 407, 19.715696600083902
262, [26,28], 376, 18.15820330005954
263, [1,29], 399, 19.17427519991179
264, [2,29], 422, 20.554613099877315
265, [3,29], 421, 20.43792140010919
266, [4,29], 420, 20.305420400087314
267, [5,29], 419, 20.254424699931405
268, [6,29], 418, 20.52988750012446
269, [7,29], 417, 20.096340700081782
270, [8,29], 416, 20.40516859987838
271, [9,29], 415, 20.40776350008673
272, [10,29], 414, 19.923752299953776
273, [11,29], 413, 20.11542720010766
274, [12,29], 412, 19.902434600044216
275, [14,29], 409, 19.948825399966154
276, [15,29], 408, 20.17803469993669
277, [16,29], 397, 19.028481300134445
278, [17,29], 398, 19.212313999938488
279, [18,29], 399, 19.597039400105132
280, [19,29], 400, 19.546655199941597
281, [20,29], 401, 19.237988199980464
282, [21,29], 402, 19.512636600033147
283, [22,29], 403, 19.85173979996034
284, [23,29], 404, 19.76793420015747
285, [24,29], 405, 19.90435409986094
286, [25,29], 406, 19.605097699954058
287, [26,29], 407, 19.697410999899148
288, [13,29], 410, 19.662749099938083
