Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 385, 18.975229400064563
2, [2,1], 386, 18.52424409984087
3, [3,1], 387, 18.69614050014934
4, [4,1], 388, 18.672724600226502
5, [5,1], 387, 18.59412709994649
6, [6,1], 386, 18.64995230016939
7, [7,1], 385, 18.933070800019777
8, [8,1], 386, 18.4797868001624
9, [9,1], 387, 18.77881049986172
10, [10,1], 388, 18.775458299773163
11, [11,1], 389, 18.765737200228614
12, [12,1], 390, 18.750953299808316
13, [15,1], 387, 18.659314400036237
14, [16,1], 388, 18.97395649990358
15, [17,1], 389, 18.660654699720908
16, [18,1], 390, 18.75888539981679
17, [19,1], 397, 19.067995099670952
18, [20,1], 396, 19.90031060006004
19, [21,1], 395, 19.062208599905716
20, [22,1], 394, 18.990071800290025
21, [23,1], 395, 19.195644200386596
22, [24,1], 396, 19.174970600171946
23, [25,1], 397, 19.10664240004553
24, [26,1], 398, 18.993793199842912
25, [1,2], 384, 18.571737500009476
26, [6,2], 387, 18.960322800063295
27, [12,2], 392, 18.94611620006617
28, [15,2], 386, 18.534096699790098
29, [21,2], 396, 19.200974300067173
30, [26,2], 389, 18.63936279999325
31, [1,3], 383, 18.429326900222804
32, [6,3], 388, 18.905520499916747
33, [12,3], 391, 18.944362799811643
34, [15,3], 385, 18.81073969983845
35, [21,3], 391, 18.910326299795997
36, [26,3], 388, 19.11873950023437
37, [1,4], 382, 18.525788900151383
38, [6,4], 387, 18.595326799928444
39, [12,4], 390, 19.410086600051727
40, [15,4], 384, 18.43013239982247
41, [21,4], 390, 18.784738000045763
42, [26,4], 387, 18.765026599998237
43, [1,5], 383, 18.5213630998187
44, [2,5], 384, 18.434046299924375
45, [3,5], 392, 19.098172600221005
46, [4,5], 390, 18.742763999805902
47, [5,5], 389, 18.687372299697017
48, [6,5], 388, 19.07540190020518
49, [7,5], 394, 19.047745999705512
50, [8,5], 395, 19.088616500084754
51, [9,5], 419, 20.21004630011157
52, [10,5], 418, 20.544277399763814
53, [11,5], 419, 20.62103549981839
54, [12,5], 391, 18.835646399733378
55, [13,5], 387, 18.704044500278542
56, [14,5], 386, 18.631023699927027
57, [15,5], 385, 18.50050659995759
58, [16,5], 401, 19.186272999708308
59, [17,5], 400, 19.296670900119352
60, [18,5], 399, 19.45293359985226
61, [19,5], 393, 18.899866199673852
62, [20,5], 392, 18.900183199861203
63, [21,5], 391, 18.7687527002563
64, [22,5], 392, 18.77132820012048
65, [23,5], 393, 18.951443199883215
66, [24,5], 394, 19.537832799906028
67, [25,5], 389, 18.816680300005828
68, [26,5], 388, 18.750938300276175
69, [1,6], 384, 18.56822619990271
70, [6,6], 391, 18.789429400057998
71, [9,6], 420, 20.42509330001485
72, [18,6], 400, 19.16511450021062
73, [21,6], 399, 19.53341099995305
74, [26,6], 389, 18.690812400425784
75, [1,7], 385, 18.60786220006412
76, [6,7], 392, 18.748988499864936
77, [9,7], 398, 19.098847199886222
78, [18,7], 401, 19.25168059981661
79, [21,7], 398, 19.583008499917923
80, [26,7], 390, 18.821369400277035
81, [1,8], 387, 18.697342899657087
82, [2,8], 394, 19.314494599588215
83, [3,8], 401, 19.156123999942793
84, [4,8], 400, 19.299487600292196
85, [5,8], 399, 19.132659800481633
86, [6,8], 393, 19.321294099863735
87, [9,8], 395, 19.008212800108595
88, [10,8], 406, 19.42121919991041
89, [11,8], 407, 19.48202689999016
90, [12,8], 408, 19.48568279996107
91, [15,8], 404, 19.35671110005933
92, [16,8], 405, 19.82529439983773
93, [17,8], 406, 19.492912600020645
94, [18,8], 403, 19.488016900315415
95, [21,8], 399, 19.082527300095535
96, [22,8], 396, 19.26361149994773
97, [23,8], 397, 19.310579000302823
98, [24,8], 398, 19.379402200254845
99, [25,8], 399, 19.16040670008806
100, [26,8], 392, 18.986311399872648
101, [6,9], 387, 19.064228500064928
102, [12,9], 391, 19.21826110035181
103, [15,9], 403, 19.414541299949633
104, [21,9], 400, 19.327028400060954
105, [6,10], 388, 19.24349060021632
106, [12,10], 390, 18.63144739996642
107, [15,10], 402, 19.53207130008377
108, [21,10], 401, 19.42814769987308
109, [6,11], 389, 19.08334319993446
110, [9,11], 394, 19.17189550024341
111, [10,11], 393, 19.38583060017845
112, [11,11], 392, 18.791624400037108
113, [12,11], 391, 19.05398089985829
