Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 399, 19.067829100080417
2, [2,1], 401, 19.159441599898855
3, [3,1], 401, 19.62123900001461
4, [4,1], 402, 19.508158699958585
5, [5,1], 402, 19.320124899721122
6, [6,1], 400, 19.36238230003073
7, [7,1], 399, 19.143903399963165
8, [8,1], 400, 19.026808299822733
9, [9,1], 401, 19.214303100059624
10, [10,1], 402, 19.15973200001463
11, [11,1], 403, 19.93854110004031
12, [12,1], 404, 19.39915740001743
13, [15,1], 402, 19.30463390010118
14, [16,1], 404, 19.277420500002336
15, [17,1], 404, 19.518139499916288
16, [18,1], 405, 19.374417900049593
17, [19,1], 390, 19.391966799907095
18, [20,1], 390, 18.470787399855908
19, [21,1], 388, 18.475877100041544
20, [22,1], 387, 18.33852809995733
21, [23,1], 388, 18.479287700130953
22, [24,1], 389, 18.504275999766833
23, [25,1], 390, 18.646842600093805
24, [26,1], 391, 18.945228999989922
25, [1,2], 399, 19.19672849994822
26, [6,2], 402, 19.492603900005633
27, [12,2], 407, 19.320407400024123
28, [15,2], 402, 19.286023400039994
29, [21,2], 390, 18.460012199837365
30, [26,2], 404, 19.587294100048894
31, [1,3], 397, 19.32777949998126
32, [6,3], 402, 19.331761400215328
33, [12,3], 405, 19.304723100038245
34, [15,3], 400, 19.075455799989868
35, [21,3], 406, 19.494408299935458
36, [26,3], 403, 19.14979690004111
37, [1,4], 396, 19.3150757999465
38, [6,4], 401, 19.395268100182875
39, [12,4], 404, 19.221202899920172
40, [15,4], 399, 18.96988719998626
41, [21,4], 405, 19.266744099870266
42, [26,4], 402, 19.151660800052923
43, [1,5], 397, 19.52843619997293
44, [2,5], 398, 19.407701900126995
45, [3,5], 406, 19.38270849982655
46, [4,5], 405, 19.308904199890094
47, [5,5], 404, 19.617012199625606
48, [6,5], 402, 19.482264699894586
49, [7,5], 407, 19.613806599998497
50, [8,5], 408, 19.834508700107108
51, [9,5], 409, 19.773334700148553
52, [10,5], 408, 19.445104400074342
53, [11,5], 409, 19.531860400515143
54, [12,5], 405, 19.60071389998484
55, [13,5], 402, 19.12387589996797
56, [14,5], 401, 19.276390899991384
57, [15,5], 400, 19.220585700008087
58, [16,5], 394, 18.837618500139797
59, [17,5], 394, 18.60526689980179
60, [18,5], 392, 18.698665399948368
61, [19,5], 408, 19.43021570032579
62, [20,5], 407, 19.71635590036749
63, [21,5], 406, 19.518737100224826
64, [22,5], 408, 19.503513699688483
65, [23,5], 409, 19.643574000001536
66, [24,5], 411, 19.493846199737163
67, [25,5], 405, 19.239603600130067
68, [26,5], 403, 19.53054160012107
69, [1,6], 399, 19.36165770016669
70, [6,6], 406, 19.520824699895456
71, [9,6], 411, 19.531736200195155
72, [18,6], 394, 18.552594000197132
73, [21,6], 391, 18.66565700015053
74, [26,6], 405, 19.315678000013577
75, [1,7], 399, 19.358303399872966
76, [6,7], 406, 19.533118599953013
77, [9,7], 411, 19.60988539988466
78, [18,7], 394, 19.189548299938906
79, [21,7], 390, 18.542829999758396
80, [26,7], 405, 19.529202400153736
81, [1,8], 401, 19.60784560024331
82, [2,8], 398, 19.33556160023727
83, [3,8], 404, 19.359304300072836
84, [4,8], 409, 19.469133199832868
85, [5,8], 402, 19.88844350008003
86, [6,8], 407, 19.36373720022675
87, [9,8], 409, 19.466595100137056
88, [10,8], 397, 18.755242299943347
89, [11,8], 398, 19.011778200263507
90, [12,8], 399, 19.237560199922882
91, [15,8], 425, 20.544375900179148
92, [16,8], 425, 20.276196400125627
93, [17,8], 426, 20.35933940007817
94, [18,8], 396, 18.685345299862092
95, [21,8], 391, 18.71844949980732
96, [22,8], 389, 18.542021000073873
97, [23,8], 390, 18.700695900290157
98, [24,8], 392, 18.547555600074702
99, [25,8], 392, 18.519400500066695
100, [26,8], 407, 19.36195999995107
101, [6,9], 391, 18.82348090042069
102, [12,9], 405, 19.473455199797172
103, [15,9], 423, 20.140027999848826
104, [21,9], 393, 18.89798999991035
105, [6,10], 392, 18.8618881998118
106, [12,10], 404, 19.631913499964867
107, [15,10], 422, 20.071866900252644
108, [21,10], 393, 18.778044099992258
109, [6,11], 393, 18.908493499809992
110, [9,11], 409, 19.547744399606017
111, [10,11], 407, 19.613169399861363
112, [11,11], 406, 19.44562010001391
113, [12,11], 405, 19.36167650000425
114, [13,11], 425, 20.351075999860768
115, [14,11], 425, 20.284525200084317
116, [15,11], 423, 20.290733500412898
117, [16,11], 399, 19.51470689981943
118, [17,11], 400, 19.2640202006005
119, [18,11], 401, 19.20248049988004
120, [21,11], 407, 19.461597400033497
121, [6,12], 394, 19.123841100139543
122, [9,12], 408, 19.641429299939773
123, [18,12], 408, 19.611895000140066
124, [21,12], 406, 19.385119099970325
125, [6,13], 395, 18.92923029990925
126, [9,13], 407, 19.385725999920396
127, [18,13], 407, 19.529203100144514
128, [21,13], 405, 19.35700650011131
129, [6,14], 396, 19.04023689996393
130, [7,14], 407, 19.601928400195902
131, [8,14], 408, 19.69146539994108
132, [9,14], 408, 19.520910400358844
133, [18,14], 408, 19.59684320008091
134, [19,14], 399, 18.99880719964858
135, [20,14], 400, 19.351230299755116
136, [21,14], 406, 19.69331660013995
137, [6,15], 396, 19.10052729996096
138, [9,15], 410, 19.43464840001252
139, [18,15], 403, 19.078843299968867
140, [21,15], 408, 19.568895699791028
141, [6,16], 400, 19.22298050005338
142, [9,16], 407, 19.678791499958606
143, [18,16], 402, 19.325395399646368
144, [21,16], 400, 19.215793800278334
145, [6,17], 400, 19.058538100187434
146, [9,17], 408, 19.54213369988429
147, [10,17], 405, 19.447079399775248
148, [11,17], 418, 19.9878553996532
149, [12,17], 427, 20.570748399710283
150, [13,17], 425, 20.095156199589837
151, [14,17], 425, 20.358763400057796
152, [15,17], 423, 20.437938599920017
153, [16,17], 423, 20.044648899900494
154, [17,17], 405, 19.31207000017457
155, [18,17], 403, 19.466484000062337
156, [21,17], 400, 19.020301099983044
157, [6,18], 398, 19.030190199555364
158, [9,18], 402, 18.997634500046843
159, [18,18], 419, 20.036770099861315
160, [21,18], 398, 19.150846700184047
161, [6,19], 397, 19.251675300154602
162, [9,19], 401, 19.06200429997989
163, [18,19], 418, 19.90987299992412
164, [21,19], 397, 18.886008499990567
165, [1,20], 404, 19.355138999642804
166, [2,20], 402, 19.164331599880825
167, [3,20], 401, 19.367122600058792
168, [4,20], 400, 19.475822100081132
169, [5,20], 399, 19.389757099939743
170, [6,20], 398, 19.332819100032793
171, [7,20], 409, 19.495145999870147
172, [8,20], 410, 19.566711600025883
173, [9,20], 402, 19.12664839971694
174, [10,20], 399, 19.24164659989765
175, [11,20], 402, 19.09298020010465
176, [12,20], 398, 18.74662629995146
177, [15,20], 405, 19.17395960011345
178, [16,20], 421, 20.297277299920097
179, [17,20], 420, 20.122570299936342
180, [18,20], 419, 19.97556150011951
181, [19,20], 395, 19.31138519992237
182, [20,20], 396, 19.096407399803866
183, [21,20], 398, 19.06235280005785
184, [22,20], 419, 20.132519199731178
185, [23,20], 401, 19.060053000008338
186, [24,20], 401, 19.602383600140456
187, [25,20], 403, 19.49333009957627
188, [26,20], 403, 19.363230099581415
189, [1,21], 402, 19.15972839985625
190, [6,21], 398, 19.215410599892493
191, [12,21], 404, 19.205993400202715
192, [15,21], 403, 19.177189500042005
193, [21,21], 397, 19.215645400166977
194, [26,21], 396, 19.184108200104674
195, [1,22], 401, 19.619797699837363
196, [6,22], 399, 19.131110199799878
197, [12,22], 403, 19.112273899678257
198, [15,22], 402, 19.190325599745847
199, [21,22], 396, 18.967207000096096
200, [26,22], 395, 19.22808719970635
201, [1,23], 400, 19.369853399606654
202, [2,23], 402, 19.230329099780647
203, [3,23], 401, 19.503461800137302
204, [6,23], 400, 19.23083080012293
205, [7,23], 403, 19.334176299904357
206, [8,23], 404, 19.639299499962362
207, [9,23], 416, 19.982831699831877
208, [10,23], 415, 19.70327600010205
209, [11,23], 416, 20.062341399883735
210, [12,23], 404, 19.149090399892884
211, [13,23], 393, 18.80686259990034
212, [14,23], 394, 18.770223599829478
213, [15,23], 403, 19.438641000262578
214, [16,23], 412, 19.792639000035706
215, [17,23], 412, 19.811822400210076
216, [18,23], 410, 19.624049300182378
217, [19,23], 409, 19.527473299880512
218, [20,23], 410, 19.50727070000721
219, [21,23], 397, 18.85095949989045
220, [24,23], 393, 18.938121500017587
221, [25,23], 393, 18.794306800118648
222, [26,23], 395, 18.904349499833188
223, [3,24], 397, 19.113284000079148
224, [6,24], 400, 19.21395150021999
225, [9,24], 418, 19.790816200111294
226, [18,24], 412, 20.093048199851182
227, [21,24], 399, 18.94403689945466
228, [24,24], 391, 18.79496259985899
229, [3,25], 396, 19.311767199935275
230, [6,25], 402, 19.587764700248954
231, [9,25], 407, 19.444160900166025
232, [18,25], 412, 20.03099659961299
233, [21,25], 413, 19.924726400204236
234, [24,25], 390, 18.65955190009845
235, [1,26], 399, 19.375820399887743
236, [2,26], 398, 19.011501399887493
237, [3,26], 397, 19.17476580008224
238, [4,26], 396, 18.949813100101892
239, [5,26], 403, 19.622586500277976
240, [6,26], 402, 19.663932400173508
241, [9,26], 408, 19.56445429987798
242, [10,26], 414, 19.786805100055062
243, [11,26], 415, 19.811682899977313
244, [12,26], 416, 19.8020808998117
245, [15,26], 417, 20.099395100100082
246, [16,26], 417, 19.954336799812154
247, [17,26], 418, 20.049546199545148
248, [18,26], 414, 19.74880820022372
249, [21,26], 414, 19.831108399957884
250, [22,26], 401, 19.13994920013647
251, [23,26], 392, 18.871564099856187
252, [24,26], 391, 18.884887199863442
253, [25,26], 393, 18.670672600186663
254, [26,26], 394, 18.87141430005431
255, [1,27], 401, 19.211025200027507
256, [12,27], 419, 19.98792779998621
257, [15,27], 415, 19.883642499975394
258, [26,27], 395, 19.158919199951924
259, [1,28], 402, 19.142378000193276
260, [12,28], 418, 20.072931799804792
261, [15,28], 414, 19.820619399964926
262, [26,28], 395, 18.8673002999858
263, [1,29], 403, 19.366062200046144
264, [2,29], 429, 20.70660359998874
265, [3,29], 428, 20.643114399557817
266, [4,29], 427, 20.32318350004789
267, [5,29], 426, 20.481204600524507
268, [6,29], 425, 20.16429989998869
269, [7,29], 424, 20.154410899907816
270, [8,29], 423, 20.600704600365134
271, [9,29], 422, 20.425538599462016
272, [10,29], 421, 20.28063570028462
273, [11,29], 420, 19.94124149979325
274, [12,29], 419, 19.861076300265267
275, [14,29], 416, 19.739015599814593
276, [15,29], 415, 19.71470930011128
277, [16,29], 404, 19.46427970008517
278, [17,29], 405, 19.39414010035398
279, [18,29], 406, 19.565562200456043
280, [19,29], 407, 19.40203930005373
281, [20,29], 408, 19.27502619982988
282, [21,29], 409, 19.493163400446065
283, [22,29], 410, 19.710898800141877
