Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 393, 18.59629950003
2, [2,1], 394, 19.062482099951012
3, [3,1], 395, 19.379213800406433
4, [4,1], 395, 19.48364100017352
5, [5,1], 395, 18.74195510010759
6, [6,1], 393, 19.022749199997634
7, [7,1], 392, 19.15625019975414
8, [8,1], 393, 18.57099159990321
9, [9,1], 395, 18.679254600021522
10, [10,1], 395, 19.407757600434707
11, [11,1], 397, 18.75551149986859
12, [12,1], 397, 18.691966099868296
13, [15,1], 395, 18.768187699795817
14, [16,1], 396, 18.8141567002167
15, [17,1], 397, 19.009596599906217
16, [18,1], 398, 18.935668600228382
17, [19,1], 391, 18.876758099839208
18, [20,1], 391, 18.482006399935926
19, [21,1], 389, 18.484753499826184
20, [22,1], 388, 18.423600400346913
21, [23,1], 389, 18.294531499923323
22, [24,1], 391, 18.516886999786948
23, [25,1], 391, 18.99312679967261
24, [26,1], 393, 18.56686220015399
25, [1,2], 393, 18.47438130019873
26, [6,2], 395, 18.642060599813703
27, [12,2], 399, 18.813780799828237
28, [15,2], 395, 18.58439789977274
29, [21,2], 391, 23.61650619970169
30, [26,2], 396, 19.144203299772926
31, [1,3], 391, 18.41126529999019
32, [6,3], 395, 18.71337249982753
33, [12,3], 397, 18.822667000073125
34, [15,3], 393, 18.564110799808986
35, [21,3], 398, 18.89175189996604
36, [26,3], 394, 19.075425899820402
37, [1,4], 390, 18.284910799906356
38, [6,4], 394, 18.509726500007673
39, [12,4], 396, 18.874672999911127
40, [15,4], 392, 18.43012209997687
41, [21,4], 397, 18.88059809980041
42, [26,4], 393, 18.55163710011402
43, [1,5], 391, 18.966747800281155
44, [2,5], 391, 18.460785900155315
45, [3,5], 398, 19.20182829994883
46, [4,5], 398, 18.814791999655426
47, [5,5], 397, 18.778012699942337
48, [6,5], 395, 18.89266719967418
49, [7,5], 400, 19.49194329995953
50, [8,5], 401, 19.21078530025261
51, [9,5], 411, 19.68923860017094
52, [10,5], 410, 20.16939320001984
53, [11,5], 411, 19.535101600165945
54, [12,5], 397, 18.748319699807325
55, [13,5], 394, 18.62114010004734
56, [14,5], 395, 19.02878959973168
57, [15,5], 393, 18.469027499551885
58, [16,5], 395, 18.85886710017803
59, [17,5], 395, 18.919726500098477
60, [18,5], 393, 18.86941350012785
61, [19,5], 399, 18.85559089994058
62, [20,5], 398, 19.12959010017221
63, [21,5], 398, 19.066668599683908
64, [22,5], 399, 18.922765199909918
65, [23,5], 400, 18.94285590002255
66, [24,5], 402, 19.046313499755342
67, [25,5], 396, 18.7401146000484
68, [26,5], 394, 18.703543999916292
69, [1,6], 393, 18.991430600421154
70, [6,6], 398, 18.95164040030795
71, [9,6], 413, 19.656678100145655
72, [18,6], 395, 18.58211709972238
73, [21,6], 393, 18.72708879991842
74, [26,6], 396, 18.760699000020395
75, [1,7], 393, 18.89289660003851
