Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 393, 18.604819700027292
2, [2,1], 394, 18.451453699988633
3, [3,1], 395, 18.55631569997422
4, [4,1], 395, 18.9369922000551
5, [5,1], 395, 19.57182030007607
6, [6,1], 393, 18.84733979993689
7, [7,1], 392, 18.477794599974004
8, [8,1], 393, 18.662134899972443
9, [9,1], 395, 18.6711462000967
10, [10,1], 395, 18.683153900055913
11, [11,1], 397, 18.82973820004554
12, [12,1], 397, 18.571366300027876
13, [15,1], 395, 18.374369200111687
14, [16,1], 396, 18.380124399911438
15, [17,1], 397, 18.294110199989518
16, [18,1], 398, 18.359001999942848
17, [19,1], 392, 18.147512500006997
18, [20,1], 392, 18.15302030001112
19, [21,1], 390, 18.022051000010833
20, [22,1], 389, 18.12634759995126
21, [23,1], 390, 17.993785500009835
22, [24,1], 392, 18.871037600019918
23, [25,1], 392, 19.265965800117556
24, [26,1], 394, 18.808219300037308
25, [1,2], 393, 18.380658199930622
26, [6,2], 395, 18.327090600036172
27, [12,2], 399, 18.506600500022614
28, [15,2], 395, 18.523828499994124
29, [21,2], 392, 18.24289300003511
30, [26,2], 397, 18.555950400037545
31, [1,3], 391, 18.225218200059317
32, [6,3], 395, 18.358595899964712
33, [12,3], 397, 18.318602100101998
34, [15,3], 393, 18.37332990005234
35, [21,3], 399, 18.71862870000041
36, [26,3], 395, 18.284006200006843
37, [1,4], 390, 18.39843510010178
38, [6,4], 394, 18.374751900202682
39, [12,4], 396, 18.510470800127223
40, [15,4], 392, 18.445335999957024
41, [21,4], 398, 18.921964600038336
42, [26,4], 394, 18.5183501000065
43, [1,5], 391, 18.288145699978486
44, [2,5], 391, 18.469162200046412
45, [3,5], 399, 18.68246240008739
46, [4,5], 397, 19.168890000077226
47, [5,5], 396, 18.791811999944912
48, [6,5], 395, 21.103826900041895
49, [7,5], 400, 19.375138200019137
50, [8,5], 401, 18.96721849996902
51, [9,5], 414, 19.832087100032368
52, [10,5], 413, 19.74249350003447
53, [11,5], 414, 19.367714099913428
54, [12,5], 397, 18.793916700040427
55, [13,5], 394, 18.4750025999856
56, [14,5], 395, 18.433360000064567
57, [15,5], 393, 18.314944700159685
58, [16,5], 396, 18.429073400013294
59, [17,5], 396, 18.744977299997117
60, [18,5], 394, 18.707916899886186
61, [19,5], 401, 19.041190099971573
62, [20,5], 399, 18.792781799988006
63, [21,5], 399, 18.487271600071836
64, [22,5], 399, 18.70011840000734
65, [23,5], 400, 18.641976699884253
66, [24,5], 402, 18.892001399981382
67, [25,5], 397, 19.394687400003022
68, [26,5], 395, 18.91337800002657
69, [1,6], 393, 18.77730709997195
70, [6,6], 399, 18.91569129997515
71, [9,6], 416, 19.69767369998226
72, [18,6], 396, 18.525466099963523
73, [21,6], 394, 18.61691920008525
74, [26,6], 397, 19.326305400041747
75, [1,7], 394, 19.017844400059403
76, [6,7], 399, 18.63406450005641
77, [9,7], 405, 19.429904300057387
78, [18,7], 397, 18.926550400061387
79, [21,7], 393, 18.4676154998524
80, [26,7], 397, 19.186820900111343
81, [1,8], 395, 18.77887269994244
82, [2,8], 401, 18.957173799986776
83, [3,8], 409, 18.95395880007709
84, [4,8], 407, 19.189909499895293
85, [5,8], 401, 19.92109399997571
86, [6,8], 400, 19.468085500040615
87, [9,8], 401, 19.975815600140777
88, [10,8], 400, 20.171800400268694
89, [11,8], 401, 19.49333029997797
90, [12,8], 402, 19.177329899954202
91, [15,8], 411, 19.197261100067408
92, [16,8], 411, 19.154449400150042
93, [17,8], 413, 19.40996089985856
94, [18,8], 398, 19.79444899997179
95, [21,8], 394, 19.007810599985532
96, [22,8], 393, 18.812911299923144
97, [23,8], 394, 20.428787000186276
98, [24,8], 396, 19.542062200162036
99, [25,8], 396, 18.646833300052094
100, [26,8], 399, 18.93450250018941
101, [6,9], 396, 18.82017259994609
102, [12,9], 397, 18.642816499857872
103, [15,9], 409, 21.44504270017933
104, [21,9], 396, 23.468207299876667
105, [6,10], 397, 20.152995299991744
106, [12,10], 396, 19.434350600065954
107, [15,10], 408, 25.910284800076624
108, [21,10], 396, 19.812188699979743
109, [6,11], 397, 27.442247500133817
110, [9,11], 403, 19.485424800106557
111, [10,11], 399, 19.418988299868943
112, [11,11], 399, 20.263769800127193
113, [12,11], 397, 19.194465000015043
114, [13,11], 411, 20.079250299990235
115, [14,11], 411, 25.231166099998518
116, [15,11], 409, 20.199787700163142
117, [16,11], 394, 18.67091819979396
118, [17,11], 395, 19.605619199930516
119, [18,11], 397, 19.385507500119274
120, [21,11], 401, 19.242077600043558
121, [6,12], 399, 19.233310399999027
122, [9,12], 401, 18.952998299697356
123, [18,12], 399, 18.988665300064895
124, [21,12], 399, 18.99312870000722
125, [6,13], 400, 19.237147100036964
126, [9,13], 400, 19.04962219989102
127, [18,13], 398, 19.27760099999432
128, [21,13], 398, 18.911670799847343
129, [6,14], 400, 19.37937499993859
130, [7,14], 400, 19.248288499817136
131, [8,14], 401, 19.21631260002323
132, [9,14], 401, 18.945549499898334
133, [18,14], 399, 19.210171299782814
134, [19,14], 394, 18.549661899924104
135, [20,14], 395, 18.6339744000652
136, [21,14], 399, 19.00714119994518
137, [6,15], 400, 19.211922299902653
138, [9,15], 403, 19.362149500026135
139, [18,15], 405, 19.266939200271736
140, [21,15], 401, 19.462310500035528
141, [6,16], 404, 21.439288199871953
142, [9,16], 400, 19.857459200153244
143, [18,16], 404, 20.672738300047058
144, [21,16], 395, 19.778254799974093
145, [6,17], 404, 19.639620899935835
146, [9,17], 401, 19.316745400014042
147, [10,17], 398, 19.13368389991956
148, [11,17], 415, 19.967251799964288
149, [12,17], 430, 21.49453219993302
150, [13,17], 428, 21.83729680004035
151, [14,17], 428, 21.419262099916523
152, [15,17], 426, 21.33295999996335
153, [16,17], 426, 21.32905479997862
154, [17,17], 407, 19.691495000100986
155, [18,17], 405, 20.63140059980651
156, [21,17], 395, 19.27364220005984
157, [6,18], 402, 20.23608920018887
158, [9,18], 405, 21.315285099910398
159, [18,18], 422, 22.947466700017685
160, [21,18], 393, 20.213623300078325
161, [6,19], 401, 21.569482400060224
162, [9,19], 404, 19.663258300141024
163, [18,19], 421, 21.33493540006748
164, [21,19], 392, 19.43857080005546
165, [1,20], 407, 20.324719200136315
166, [2,20], 406, 19.831546600042202
167, [3,20], 406, 19.98411549998127
168, [4,20], 404, 19.367841500068607
169, [5,20], 404, 20.28430480002862
170, [6,20], 402, 20.437101099996653
171, [7,20], 402, 20.605720400082646
172, [8,20], 403, 20.280516599697876
173, [9,20], 405, 20.034119000039937
174, [10,20], 402, 20.461263700046402
175, [11,20], 405, 19.45977590000257
176, [12,20], 401, 19.384679900038464
177, [15,20], 407, 20.02401980000286
178, [16,20], 424, 21.212475400257972
179, [17,20], 424, 21.381739900105458
180, [18,20], 422, 21.448926599863626
181, [19,20], 399, 19.63825879997603
182, [20,20], 400, 19.34521350000432
183, [21,20], 393, 19.455462099860597
184, [22,20], 425, 21.52559740022116
185, [23,20], 395, 19.04954759999964
186, [24,20], 395, 19.75756239990733
187, [25,20], 397, 18.650515200090013
188, [26,20], 397, 19.066612000009627
189, [1,21], 406, 20.435589100154175
190, [6,21], 402, 19.69331789972057
191, [12,21], 407, 19.253679599998577
192, [15,21], 405, 19.066615299940167
193, [21,21], 391, 19.165467999999237
194, [26,21], 391, 18.754246800075634
195, [1,22], 405, 20.07071149987314
196, [6,22], 403, 20.6130564001287
197, [12,22], 406, 19.351186500040058
198, [15,22], 404, 19.491066499991575
199, [21,22], 390, 18.22952559996338
200, [26,22], 390, 18.367161800255417
201, [1,23], 404, 19.084496000301442
202, [2,23], 406, 19.39367690002109
