Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 381, 18.840228299999904
2, [2,1], 383, 18.75225389999993
3, [3,1], 384, 18.854620700000083
4, [4,1], 385, 19.198031600000157
5, [5,1], 384, 18.55181399999961
6, [6,1], 383, 18.71343000000006
7, [7,1], 382, 18.424175100000582
8, [8,1], 383, 18.23382399999997
9, [9,1], 384, 18.3494129999998
10, [10,1], 385, 18.371689599999996
11, [11,1], 386, 18.599762299999725
12, [12,1], 387, 18.56365459999944
13, [15,1], 384, 18.668170000000146
14, [16,1], 385, 18.276784600000013
15, [17,1], 386, 18.345447799999988
16, [18,1], 387, 18.37223410000115
17, [19,1], 381, 18.269713600000898
18, [20,1], 380, 18.11933200000101
19, [21,1], 379, 18.176977299998555
20, [22,1], 378, 18.3602596999998
21, [23,1], 379, 18.461255900000197
22, [24,1], 380, 18.378353799998365
23, [25,1], 381, 18.22519520000003
24, [26,1], 382, 19.03067379999925
25, [1,2], 381, 18.708674999997697
26, [6,2], 384, 18.326898599999424
27, [12,2], 388, 19.285722399998292
28, [15,2], 383, 19.024253899999678
29, [21,2], 380, 18.59217790000139
30, [26,2], 386, 18.79053259999921
31, [1,3], 380, 18.271111100001463
32, [6,3], 385, 18.45577759999719
33, [12,3], 387, 19.126385100000334
34, [15,3], 382, 18.44002979999675
35, [21,3], 388, 18.63091250000491
36, [26,3], 385, 18.79453440000316
37, [1,4], 379, 18.592302299997755
38, [6,4], 384, 18.976168799999527
39, [12,4], 386, 18.83145430000195
40, [15,4], 381, 19.322992800000293
41, [21,4], 387, 19.19177800000466
42, [26,4], 384, 19.24678090000225
43, [1,5], 380, 18.77142730000412
44, [2,5], 381, 18.241106000003583
45, [3,5], 388, 18.542367100002025
46, [4,5], 387, 18.530536600002392
47, [5,5], 386, 18.86085629999934
48, [6,5], 385, 18.4577996000005
49, [7,5], 390, 18.78648009999779
50, [8,5], 391, 18.710396000000287
51, [9,5], 401, 19.30471649999697
52, [10,5], 400, 20.189961799999082
53, [11,5], 401, 19.732369000000517
54, [12,5], 387, 18.51687519999848
55, [13,5], 384, 18.79386750000151
56, [14,5], 383, 18.95272030000592
57, [15,5], 382, 18.526115800004618
58, [16,5], 386, 18.515489400002025
59, [17,5], 385, 19.270470300003353
60, [18,5], 384, 19.325861399999667
61, [19,5], 390, 20.35486460000834
62, [20,5], 389, 19.419440700006135
63, [21,5], 388, 19.11406860000534
64, [22,5], 389, 18.78423440000074
65, [23,5], 390, 19.379066599998623
66, [24,5], 391, 19.20984139999996
67, [25,5], 386, 18.554938999999877
68, [26,5], 385, 18.84212020000041
69, [1,6], 381, 18.40206240000225
70, [6,6], 388, 19.128379200003565
71, [9,6], 402, 19.489819799997576
72, [18,6], 385, 19.09442850000346
73, [21,6], 384, 18.42013000000111
74, [26,6], 386, 18.704642799996236
75, [1,7], 382, 18.277352400009704
76, [6,7], 389, 18.889019699995742
77, [9,7], 394, 19.742952299998024
78, [18,7], 386, 18.942405700003974
79, [21,7], 383, 18.408262599994487
80, [26,7], 387, 19.40534850000131
81, [1,8], 383, 18.361055700001316
82, [2,8], 393, 19.071155899996484
83, [3,8], 393, 19.249000700004217
84, [4,8], 392, 19.216420800002197
85, [5,8], 391, 19.08818240000346
86, [6,8], 390, 19.462831099998994
87, [9,8], 392, 18.851225899993096
88, [10,8], 389, 19.053525899996885
89, [11,8], 390, 18.9946898999965
90, [12,8], 391, 18.790916799992146
91, [15,8], 400, 19.77952769999888
92, [16,8], 401, 19.45396180000307
93, [17,8], 402, 19.78009400000178
94, [18,8], 387, 18.602332699989347
95, [21,8], 384, 18.819963099998176
96, [22,8], 381, 18.282134699999233
97, [23,8], 382, 18.66448880000371
98, [24,8], 383, 18.680649399999766
99, [25,8], 384, 18.504761000002418
100, [26,8], 388, 19.049288900001102
101, [6,9], 386, 18.5813028999969
102, [12,9], 388, 19.215634499996213
103, [15,9], 399, 19.73768869999708
104, [21,9], 385, 18.967820199996822
105, [6,10], 387, 19.14017709999098
106, [12,10], 387, 19.755090300000575
107, [15,10], 398, 19.30457019999426
108, [21,10], 386, 18.922165399999585
109, [6,11], 388, 18.881777299995974
110, [9,11], 391, 19.082779200010464
111, [10,11], 390, 18.758462300004794
112, [11,11], 389, 18.894892199993137
113, [12,11], 388, 18.590675500011002
114, [13,11], 401, 19.65163569997958
115, [14,11], 400, 19.200429399993027
116, [15,11], 399, 19.59183089999169
117, [16,11], 382, 18.48780310000302
118, [17,11], 383, 19.037380700013273
119, [18,11], 384, 18.522645499997907
120, [21,11], 388, 18.910981699993044
121, [6,12], 389, 18.908930599989617
122, [9,12], 390, 18.840877099995396
123, [18,12], 390, 19.154595600005905
124, [21,12], 387, 18.76582890000236
125, [6,13], 390, 19.195274600006087
126, [9,13], 389, 18.742115400007606
127, [18,13], 389, 18.8415460000042
128, [21,13], 386, 18.777153899997757
129, [6,14], 391, 18.83276519999663
130, [7,14], 388, 18.881889699999647
131, [8,14], 389, 18.720576800013077
132, [9,14], 390, 18.813784200002374
133, [18,14], 390, 18.81261040001027
134, [19,14], 381, 18.497976199997993
135, [20,14], 382, 18.190779799996108
136, [21,14], 387, 18.933103500003654
137, [6,15], 392, 18.815512200004378
138, [9,15], 391, 19.11789680000129
139, [18,15], 395, 18.913422800005264
140, [21,15], 388, 18.53762110000298
141, [6,16], 395, 18.902343300009306
142, [9,16], 388, 18.927639300004557
143, [18,16], 394, 18.97498449998966
144, [21,16], 381, 18.282528600004753
145, [6,17], 394, 19.060637999994015
146, [9,17], 389, 18.85931420001816
147, [10,17], 386, 18.51005109999778
148, [11,17], 405, 19.43688659999907
149, [12,17], 418, 20.34994829999914
150, [13,17], 417, 20.15857270000879
151, [14,17], 416, 20.157522999986213
152, [15,17], 415, 20.081439199998385
153, [16,17], 414, 19.963966900009837
154, [17,17], 396, 19.11502130001145
155, [18,17], 395, 18.772125400007553
156, [21,17], 380, 18.35611780000363
157, [6,18], 393, 18.8423151999973
158, [9,18], 394, 19.222816200004672
159, [18,18], 411, 19.780088500001057
160, [21,18], 379, 18.238705299999765
161, [6,19], 392, 18.940746000000217
162, [9,19], 393, 18.88386910000645
163, [18,19], 410, 19.982785500001683
164, [21,19], 378, 18.090748999994048
165, [1,20], 398, 19.48268539999981
166, [2,20], 397, 18.881185600000663
167, [3,20], 396, 18.958436399999755
168, [4,20], 395, 18.726497400004064
169, [5,20], 394, 18.971484800006237
170, [6,20], 393, 18.786134899994067
171, [7,20], 390, 18.77285440001333
172, [8,20], 391, 18.66591159999689
173, [9,20], 394, 18.770177999991574
174, [10,20], 391, 18.871730400006527
175, [11,20], 392, 19.05082419998689
176, [12,20], 389, 18.928651599992463
177, [15,20], 395, 19.198907099995267
178, [16,20], 413, 20.14207810001335
179, [17,20], 412, 19.737324100006845
180, [18,20], 411, 19.89772479999874
181, [19,20], 386, 19.24296220000997
182, [20,20], 387, 18.801938499992048
183, [21,20], 379, 18.322163299990734
184, [22,20], 411, 19.94655159998956
185, [23,20], 381, 18.373931499992977
186, [24,20], 382, 18.221916999996665
187, [25,20], 383, 18.471186099982788
188, [26,20], 384, 18.66094059999159
189, [1,21], 397, 19.065832000000682
190, [6,21], 394, 18.838381099997605
191, [12,21], 396, 19.19591020000007
192, [15,21], 394, 18.90087199999698
193, [21,21], 378, 18.076115399986065
194, [26,21], 377, 18.03915900000584
195, [1,22], 396, 19.018339500006277
196, [6,22], 395, 18.969282600006864
197, [12,22], 395, 21.24506190001466
198, [15,22], 393, 19.582329400003346
199, [21,22], 377, 18.27709780001578
200, [26,22], 376, 17.930739400007496
201, [1,23], 395, 19.153410200013695
202, [2,23], 396, 18.78970199999958
203, [3,23], 395, 19.338318999997227
204, [6,23], 396, 19.723826300009478
205, [7,23], 393, 19.311548400012725
206, [8,23], 394, 19.489949700010584
207, [9,23], 407, 20.210061300010693
208, [10,23], 406, 19.832066900000427
209, [11,23], 407, 19.549973700003193
210, [12,23], 396, 19.31221950001236
211, [13,23], 385, 18.483579800004918
212, [14,23], 386, 18.66875279999931
213, [15,23], 394, 18.9964039999968
214, [16,23], 392, 18.77427929999658
215, [17,23], 391, 18.79436510001824
216, [18,23], 390, 18.975777000000107
217, [19,23], 389, 18.733920799987573
218, [20,23], 390, 18.833616900027664
219, [21,23], 378, 18.29507609999837
220, [24,23], 373, 17.677190199978213
221, [25,23], 374, 18.057332399991537
222, [26,23], 375, 18.263198700031353
223, [3,24], 392, 19.09920350001721
224, [6,24], 397, 18.892983399969125
225, [9,24], 408, 19.924932899999476
226, [18,24], 391, 19.395903799991174
227, [21,24], 379, 18.572428899972692
228, [24,24], 372, 17.978586400002314
229, [3,25], 391, 18.958461699994587
230, [6,25], 398, 19.379726200010737
231, [9,25], 397, 19.270290000005843
232, [18,25], 392, 18.970116300000882
233, [21,25], 393, 18.82344700000158
234, [24,25], 371, 17.79596720000427
235, [1,26], 394, 18.874260499999764
236, [2,26], 393, 18.995051999976567
237, [3,26], 392, 19.15897539997968
238, [4,26], 391, 18.884400200000528
239, [5,26], 400, 19.27201480000349
240, [6,26], 399, 19.45732870001666
241, [9,26], 398, 19.08455979998689
242, [10,26], 399, 19.54340369998954
243, [11,26], 400, 20.30687970001327
244, [12,26], 401, 19.315921899989917
245, [15,26], 405, 19.182361199970728
246, [16,26], 406, 19.540056999979242
247, [17,26], 407, 19.35429839997505
248, [18,26], 393, 18.907610800021757
249, [21,26], 394, 18.97819430000527
250, [22,26], 382, 18.26556320002237
251, [23,26], 373, 17.824612700018406
252, [24,26], 372, 17.692725500011875
253, [25,26], 373, 17.787553799997113
254, [26,26], 374, 18.00010729999758
255, [1,27], 395, 18.706375700020544
256, [12,27], 408, 19.68419790002463
257, [15,27], 404, 19.228589600019404
258, [26,27], 375, 17.87837979998949
259, [1,28], 396, 18.959937699985858
260, [12,28], 407, 20.41342519997943
261, [15,28], 403, 19.25778599997284
262, [26,28], 376, 18.677160700008244
263, [1,29], 397, 19.294225999979062
264, [2,29], 418, 20.003022299955774
265, [3,29], 417, 19.80397890000495
266, [4,29], 416, 19.640792800012605
267, [5,29], 415, 20.08123280001564
268, [6,29], 414, 19.43565149998176
269, [7,29], 413, 19.99663300001339
270, [8,29], 412, 19.991082900006404
271, [9,29], 411, 19.615632400008508
272, [10,29], 410, 20.24442370001725
273, [11,29], 409, 20.837972699989223
274, [12,29], 408, 19.74466430000848
275, [14,29], 405, 19.85980909998034
276, [15,29], 404, 19.896802800007208
277, [16,29], 393, 18.89865500000724
278, [17,29], 394, 19.084899599980417
279, [18,29], 395, 20.33686139997917
280, [19,29], 396, 19.192093699999532
281, [20,29], 397, 19.22187839999515
282, [21,29], 398, 19.357581699990988
283, [22,29], 399, 19.17759220001153
284, [23,29], 400, 19.649392900005296
285, [24,29], 401, 19.586315200013814
286, [25,29], 402, 21.482003899983283
287, [26,29], 403, 20.104954200013708
288, [13,29], 406, 20.98213510000278
