Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 382, 19.00906349998695
2, [2,1], 383, 19.104741100163665
3, [3,1], 384, 18.946759199876396
4, [4,1], 385, 18.911434900102904
5, [5,1], 384, 19.34710510003788
6, [6,1], 383, 18.952005999934045
7, [7,1], 382, 19.02495069982251
8, [8,1], 383, 18.86053869999887
9, [9,1], 384, 19.40307139998913
10, [10,1], 385, 19.009022300029756
11, [11,1], 386, 19.144364499974472
12, [12,1], 387, 19.012662499888393
13, [15,1], 384, 19.1532235002378
14, [16,1], 385, 18.993408600013936
15, [17,1], 386, 19.185713500082784
16, [18,1], 387, 19.17315220015007
17, [19,1], 381, 18.874991200049408
18, [20,1], 380, 18.728602700204647
19, [21,1], 379, 18.853526399900147
20, [22,1], 378, 18.79129279997869
21, [23,1], 379, 18.795783199988364
22, [24,1], 380, 19.173601000089548
23, [25,1], 381, 18.767400400138285
24, [26,1], 382, 18.89057909998519
25, [1,2], 381, 18.899744699927396
26, [6,2], 384, 19.023469599866075
27, [12,2], 388, 19.290622700216773
28, [15,2], 383, 19.1283000999465
29, [21,2], 380, 18.926232000259915
30, [26,2], 386, 19.122352399826923
31, [1,3], 380, 18.764655199898698
32, [6,3], 385, 19.060118000117654
33, [12,3], 387, 19.362026600079844
34, [15,3], 382, 19.047541100197122
35, [21,3], 388, 19.37360259991692
36, [26,3], 385, 18.933484899920586
37, [1,4], 379, 18.840805699845077
38, [6,4], 384, 19.11987239975133
39, [12,4], 386, 19.232737400059705
40, [15,4], 381, 18.732663899798354
41, [21,4], 387, 19.311619299958693
42, [26,4], 384, 19.10158639997826
43, [1,5], 380, 18.734752100011974
44, [2,5], 381, 18.829027599960682
45, [3,5], 388, 19.114348899922334
46, [4,5], 387, 19.157520800094062
47, [5,5], 386, 19.011784600028477
48, [6,5], 385, 19.422675400150183
49, [7,5], 390, 19.221544499960146
50, [8,5], 391, 19.33439920015371
51, [9,5], 401, 19.850308300177858
52, [10,5], 400, 19.817824999961886
53, [11,5], 401, 19.94970859998284
54, [12,5], 387, 19.369315499876393
55, [13,5], 384, 19.306265099956363
56, [14,5], 383, 18.893495699798223
57, [15,5], 382, 19.11088450023817
58, [16,5], 386, 19.353622400049062
59, [17,5], 385, 19.00761980003881
60, [18,5], 384, 18.985777000016242
61, [19,5], 390, 19.583597400087456
62, [20,5], 389, 19.187498799954483
63, [21,5], 388, 19.19617480006127
64, [22,5], 389, 19.116938999963168
65, [23,5], 390, 19.400824399999692
66, [24,5], 391, 19.221258200144803
67, [25,5], 386, 19.452706700081762
68, [26,5], 385, 18.986962599934486
69, [1,6], 381, 18.78367329998582
70, [6,6], 388, 19.09929369999736
71, [9,6], 402, 19.981683399892063
72, [18,6], 385, 19.076586599985603
73, [21,6], 384, 18.933929699960572
74, [26,6], 386, 19.469271300229593
75, [1,7], 382, 18.82036479996168
76, [6,7], 389, 19.22606389998691
77, [9,7], 394, 19.681177199992817
78, [18,7], 386, 19.196998499937763
79, [21,7], 383, 18.927870399864332
80, [26,7], 387, 19.47098089996871
81, [1,8], 383, 18.98146039988933
82, [2,8], 393, 19.51022379987262
83, [3,8], 393, 19.414079399968614
84, [4,8], 392, 19.413145299928146
85, [5,8], 391, 19.261029299901566
86, [6,8], 390, 19.253279099917563
87, [9,8], 392, 19.641131699987454
88, [10,8], 389, 19.26979520011082
89, [11,8], 390, 19.310739499931515
90, [12,8], 391, 19.420755600171105
91, [15,8], 400, 19.72463819997938
92, [16,8], 401, 19.822887499998615
93, [17,8], 402, 20.114200100055314
94, [18,8], 387, 19.013784600007057
95, [21,8], 384, 18.99550380011351
96, [22,8], 381, 19.062779499945464
97, [23,8], 382, 18.97462840005028
98, [24,8], 383, 18.959790399952908
99, [25,8], 384, 19.173726300032286
100, [26,8], 388, 19.455383399843413
101, [6,9], 386, 19.052714999917953
102, [12,9], 388, 19.16181209973729
103, [15,9], 399, 19.960367399893585
104, [21,9], 385, 19.07242500015127
105, [6,10], 387, 19.137281500057725
106, [12,10], 387, 19.49274270000751
107, [15,10], 398, 19.582874899911985
108, [21,10], 386, 19.1311749000306
109, [6,11], 388, 19.397849099979794
110, [9,11], 391, 19.237053799937712
111, [10,11], 390, 19.331741400033934
112, [11,11], 389, 19.566101099997468
113, [12,11], 388, 19.377813200138917
114, [13,11], 401, 19.792473299981793
115, [14,11], 400, 19.721087500016438
116, [15,11], 399, 19.76298249993124
117, [16,11], 382, 18.857957700121915
118, [17,11], 383, 18.871298799975193
119, [18,11], 384, 19.250471300110803
120, [21,11], 388, 19.2198928000289
121, [6,12], 389, 19.128352599975187
122, [9,12], 390, 19.30036449986801
123, [18,12], 390, 19.38148340022599
124, [21,12], 387, 19.099154999756138
125, [6,13], 390, 19.493678699793236
126, [9,13], 389, 19.213533199872472
127, [18,13], 389, 19.213743100081047
128, [21,13], 386, 19.0867878998979
129, [6,14], 391, 19.299528200026543
130, [7,14], 388, 19.045625699989614
131, [8,14], 389, 19.314017700060504
132, [9,14], 390, 19.573878499919374
133, [18,14], 390, 19.37148119998892
134, [19,14], 381, 18.800412299809977
135, [20,14], 382, 19.167599100044754
136, [21,14], 387, 19.14577320004173
137, [6,15], 392, 19.391614500076685
138, [9,15], 391, 19.60107439991407
139, [18,15], 395, 19.471972900093533
140, [21,15], 388, 19.229008600101224
141, [6,16], 395, 19.782378500058257
142, [9,16], 388, 19.277343299952918
143, [18,16], 394, 19.563491599954432
144, [21,16], 381, 19.079917899973225
145, [6,17], 394, 19.524724900104047
146, [9,17], 389, 19.252534200059017
147, [10,17], 386, 19.00849110003037
148, [11,17], 405, 20.199983599777624
149, [12,17], 418, 20.73275240012299
150, [13,17], 417, 20.60895410021476
151, [14,17], 416, 20.897626500103797
152, [15,17], 415, 20.48218429996632
153, [16,17], 414, 20.56792019997374
154, [17,17], 396, 19.690232300192292
155, [18,17], 395, 19.54700559988123
156, [21,17], 380, 18.78681750002579
157, [6,18], 393, 19.88079220001964
158, [9,18], 394, 19.45605929998419
159, [18,18], 411, 20.3874042000607
160, [21,18], 379, 18.835194999839587
161, [6,19], 392, 19.559357100173656
162, [9,19], 393, 19.399531299881346
163, [18,19], 410, 20.601438199708355
164, [21,19], 378, 18.67341419985314
165, [1,20], 398, 19.68727920011588
166, [2,20], 397, 19.773286000119697
167, [3,20], 396, 19.701135599920235
168, [4,20], 395, 19.457765400038625
169, [5,20], 394, 19.399597800111223
170, [6,20], 393, 19.644164799785358
171, [7,20], 390, 19.257542700004706
172, [8,20], 391, 19.453237399859063
173, [9,20], 394, 19.662206399822026
174, [10,20], 391, 19.44809700022597
175, [11,20], 392, 19.54420409999875
176, [12,20], 389, 19.413564300033613
177, [15,20], 395, 19.67694189994654
178, [16,20], 413, 20.558701699977973
179, [17,20], 412, 20.987449300198932
180, [18,20], 411, 20.66672550007206
181, [19,20], 386, 19.075383900308225
182, [20,20], 387, 19.473438300083217
183, [21,20], 379, 19.009736599873577
184, [22,20], 411, 20.24139999988256
185, [23,20], 381, 19.029242200034787
186, [24,20], 382, 19.29028309991554
187, [25,20], 383, 19.056176200065238
188, [26,20], 384, 18.90665870004159
189, [1,21], 397, 19.632671000115806
190, [6,21], 394, 19.456776000013633
191, [12,21], 396, 19.581501599976036
192, [15,21], 394, 19.697381099744234
193, [21,21], 378, 18.714759299844445
194, [26,21], 377, 18.697925199914607
195, [1,22], 396, 19.672616300049413
196, [6,22], 395, 19.45898390004004
197, [12,22], 395, 19.47297219999018
198, [15,22], 393, 19.640720299939858
199, [21,22], 377, 18.81504630008567
200, [26,22], 376, 18.558805899781873
201, [1,23], 395, 19.59617989990511
202, [2,23], 396, 19.496134800065192
203, [3,23], 395, 19.608705899881897
204, [6,23], 396, 19.81086550004693
205, [7,23], 393, 19.92057709976507
206, [8,23], 394, 19.46717329990497
207, [9,23], 407, 20.270163499902992
208, [10,23], 406, 19.969467200025974
209, [11,23], 407, 20.04054509974958
210, [12,23], 396, 19.773927700065542
211, [13,23], 385, 19.395212099982018
