Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 382, 18.678880300070887
2, [2,1], 383, 18.935979599973507
3, [3,1], 384, 19.19260789990949
4, [4,1], 385, 19.002993299978698
5, [5,1], 384, 18.897042799970222
6, [6,1], 383, 18.92487619999156
7, [7,1], 382, 18.730376200004685
8, [8,1], 383, 18.951566300111153
9, [9,1], 384, 18.98288810001395
10, [10,1], 385, 18.359477299964055
11, [11,1], 386, 18.374293700017006
12, [12,1], 387, 18.62315479998506
13, [15,1], 384, 18.651529299902904
14, [16,1], 385, 18.38504530009959
15, [17,1], 386, 18.44743489992834
16, [18,1], 387, 18.65518780009006
17, [19,1], 381, 18.181560400007584
18, [20,1], 380, 18.273881700002676
19, [21,1], 379, 18.188636599938036
20, [22,1], 378, 18.145303899931605
21, [23,1], 379, 18.162275399881764
22, [24,1], 380, 18.14669929997399
23, [25,1], 381, 18.370430099974328
24, [26,1], 382, 18.181616699868755
25, [1,2], 381, 18.282803099999
26, [6,2], 384, 18.553868299994065
27, [12,2], 388, 18.59480289997009
28, [15,2], 383, 18.32471419994181
29, [21,2], 380, 18.221402700073668
30, [26,2], 386, 18.43022850007401
31, [1,3], 380, 18.18427119997432
32, [6,3], 385, 18.450872300047195
33, [12,3], 387, 18.588138899795013
34, [15,3], 382, 18.24618359996748
35, [21,3], 388, 18.5228342999726
36, [26,3], 385, 18.469216200064693
37, [1,4], 379, 18.07792190013788
38, [6,4], 384, 18.32937619999211
39, [12,4], 386, 18.504451699998754
40, [15,4], 381, 18.142677100000583
41, [21,4], 387, 18.472765399994387
42, [26,4], 384, 18.35895279993565
43, [1,5], 380, 18.449416799947358
44, [2,5], 381, 18.237519899947074
45, [3,5], 388, 18.672735200052557
46, [4,5], 387, 18.50160439998217
47, [5,5], 386, 18.352241099943058
48, [6,5], 385, 18.363218600006803
49, [7,5], 390, 18.57749200010585
50, [8,5], 391, 18.624005299967394
51, [9,5], 401, 19.06118039993089
52, [10,5], 400, 20.226158599893097
53, [11,5], 401, 19.619776399966213
54, [12,5], 387, 18.62282889999915
55, [13,5], 384, 18.42354109998996
56, [14,5], 383, 19.839277299979585
57, [15,5], 382, 19.453375800054346
58, [16,5], 386, 19.219302900066396
59, [17,5], 385, 18.90017129977423
60, [18,5], 384, 19.281167199987976
61, [19,5], 390, 19.2418288000772
62, [20,5], 389, 19.365468400024838
63, [21,5], 388, 18.949035299981915
64, [22,5], 389, 20.4567637999171
65, [23,5], 390, 19.23251709999022
66, [24,5], 391, 18.600380300074903
67, [25,5], 386, 18.46561840004142
68, [26,5], 385, 18.50857220008038
69, [1,6], 381, 18.337516899919137
70, [6,6], 388, 18.616135299904272
71, [9,6], 402, 19.131484500074293
72, [18,6], 385, 18.512551899904793
73, [21,6], 384, 18.412322299987864
74, [26,6], 386, 18.665510600003472
75, [1,7], 382, 18.458099300132744
76, [6,7], 389, 18.631909600066138
77, [9,7], 394, 19.382421100013744
78, [18,7], 386, 19.275812100011535
79, [21,7], 383, 20.94691289995899
80, [26,7], 387, 21.716047699999763
81, [1,8], 383, 18.797805899950617
82, [2,8], 393, 19.89142730005551
83, [3,8], 393, 19.01195650014779
84, [4,8], 392, 20.8893011999171
85, [5,8], 391, 20.897442599871283
86, [6,8], 390, 18.659479900037695
87, [9,8], 392, 18.74684620005064
88, [10,8], 389, 18.68745339993984
89, [11,8], 390, 19.30480110008284
90, [12,8], 391, 19.583202099976916
91, [15,8], 400, 19.199517299995932
92, [16,8], 401, 19.651568600005703
93, [17,8], 402, 19.51603909990081
