Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 394, 19.559946700017463
2, [2,1], 395, 19.47115809998286
3, [3,1], 396, 20.497999799910758
4, [4,1], 405, 20.03789530002541
5, [5,1], 404, 19.8471918000796
6, [6,1], 403, 20.070866299920453
7, [7,1], 402, 20.383600000095612
8, [8,1], 403, 19.992021999867575
9, [9,1], 404, 20.213382399917464
10, [10,1], 405, 20.1056000000317
11, [11,1], 406, 20.08768639994014
12, [12,1], 407, 20.284309200043936
13, [15,1], 396, 19.843659299996943
14, [16,1], 397, 19.61281440007224
15, [17,1], 398, 19.574397600004886
16, [18,1], 399, 19.727303999992728
17, [19,1], 397, 19.69175730003917
18, [20,1], 396, 19.463623199935682
19, [21,1], 395, 19.421180699937395
20, [22,1], 394, 19.30754990000787
21, [23,1], 395, 19.474109799986763
22, [24,1], 396, 19.410425000012765
23, [25,1], 397, 19.550362500038318
24, [26,1], 398, 19.694563899960485
25, [1,2], 393, 19.424061199912103
26, [6,2], 404, 20.19968470000822
27, [12,2], 400, 19.79281700003412
28, [15,2], 395, 19.14307500011273
29, [21,2], 396, 18.942294500044227
30, [26,2], 398, 19.495958100047574
31, [1,3], 392, 19.54536099996767
32, [6,3], 397, 19.402376600217394
33, [12,3], 399, 19.543457100015075
34, [15,3], 394, 18.855620500013174
35, [21,3], 400, 19.256940799903532
36, [26,3], 397, 19.051545800059102
37, [1,4], 391, 18.655051100071432
38, [6,4], 396, 19.35548520006705
39, [12,4], 398, 19.420895000028395
40, [15,4], 393, 18.86171559991635
41, [21,4], 399, 19.32589170002393
42, [26,4], 396, 19.120574500080693
43, [1,5], 392, 18.723282200080575
44, [2,5], 393, 18.998616900054913
45, [3,5], 400, 19.882877099917096
46, [4,5], 399, 20.04462979991513
47, [5,5], 398, 20.31914909997795
48, [6,5], 397, 19.68307839996487
49, [7,5], 402, 20.608105200084538
50, [8,5], 403, 20.726499999931548
51, [9,5], 427, 21.410362000089663
52, [10,5], 426, 20.73022800002218
53, [11,5], 427, 21.188176900050166
54, [12,5], 399, 20.41927680002118
55, [13,5], 396, 19.166833200026304
56, [14,5], 395, 19.208489899971028
57, [15,5], 394, 18.837641199967038
58, [16,5], 404, 19.358304800047335
59, [17,5], 403, 19.268104199978552
60, [18,5], 402, 19.093363299918565
61, [19,5], 402, 19.176609499812912
62, [20,5], 401, 19.089127900060703
63, [21,5], 400, 19.088217799962877
64, [22,5], 401, 19.205120200098463
65, [23,5], 402, 19.19236760000058
66, [24,5], 403, 19.215212699957192
67, [25,5], 398, 19.02493209995737
68, [26,5], 397, 18.900237000070774
69, [1,6], 393, 18.894293099907372
70, [6,6], 408, 19.43628809996153
71, [9,6], 428, 20.586855300050956
72, [18,6], 403, 19.302359499972226
73, [21,6], 400, 19.045580600002722
74, [26,6], 398, 18.888809300064167
75, [1,7], 394, 18.869749600089563
76, [6,7], 409, 19.531137200072408
77, [9,7], 406, 19.41826380011844
78, [18,7], 404, 19.256853599970782
79, [21,7], 399, 19.147745199858036
80, [26,7], 399, 19.036368299926835
81, [1,8], 395, 18.72036230014055
82, [2,8], 405, 19.407563300042966
83, [3,8], 413, 19.980232799887744
84, [4,8], 412, 19.7736639000359
85, [5,8], 411, 19.413075300002674
86, [6,8], 410, 19.59733009991396
87, [9,8], 406, 19.298612200058415
88, [10,8], 405, 19.293886499977816
89, [11,8], 406, 19.211728899972513
90, [12,8], 407, 19.256807500118157
91, [15,8], 404, 19.15540440012046
92, [16,8], 405, 19.223283300249022
93, [17,8], 406, 19.191863399973954
94, [18,8], 405, 25.13918940008807
95, [21,8], 400, 19.358540000022913
96, [22,8], 397, 19.1525484000922
97, [23,8], 398, 19.075433700134454
98, [24,8], 399, 19.163823799939564
99, [25,8], 400, 19.017387500101904
100, [26,8], 400, 18.893147099926864
101, [6,9], 400, 19.10243640005865
102, [12,9], 402, 19.206301400019584
103, [15,9], 403, 19.328994900035468
104, [21,9], 401, 19.078864899958717
105, [6,10], 401, 19.241281000002346
106, [12,10], 401, 19.229986999918765
107, [15,10], 402, 19.41905439988841
108, [21,10], 402, 19.044762400048057
109, [6,11], 402, 19.228286099998513
110, [9,11], 393, 18.90639929993995
111, [10,11], 404, 19.204270199868915
112, [11,11], 403, 19.509650300049543
113, [12,11], 402, 19.2174926000298
114, [13,11], 405, 19.14727070018489
115, [14,11], 404, 19.387506199986092
116, [15,11], 403, 19.292949499918905
